field,game_result,side_line,line,odds
0,L,122,10,-110
0,W,100,7.5,-115
0,W,-150,9,-123
0,L,-134,9,-114
1,L,-176,8,107
1,W,-142,8,-111
1,L,-220,8.5,104
1,W,-182,9,-114
1,L,-159,8.5,106
1,L,-113,8,-105
1,L,-133,9,102
0,W,-173,7.5,-115
0,W,-147,8,-103
0,L,-167,7.5,-104
0,W,128,9,-110
0,W,133,9.5,111
1,W,-259,8.5,-113
1,W,-193,8.5,-110
1,W,-147,7,-135
1,W,-207,8.5,-110
1,L,-180,8.5,103
0,W,-103,8,-106
0,L,-137,8.5,-109
0,L,-147,7.5,-113
0,L,-157,8.5,-115
0,W,-132,7.5,-117
0,W,102,6.5,-113
0,W,-141,7.5,-103
1,W,-144,8,-118
1,L,-280,9,-101
1,L,-260,9.5,-107
1,W,-230,8.5,-113
1,W,-152,8.5,109
1,W,-174,8.5,-115
1,W,-200,8.5,113
1,W,-146,9,112
1,L,-225,8.5,-106
0,W,-108,8,-105
0,W,104,8,104
0,L,-109,8,-111
0,W,156,8.5,-105
0,W,128,8.5,-114
0,W,118,9,100
0,W,155,9.5,-121
0,W,-152,9,108
0,W,-117,9,111
0,W,-142,9,-113
1,L,101,9,-105
1,L,131,9,-117
1,W,103,9.5,111
1,L,-158,9.5,-122
1,W,-213,9,102
1,W,-205,9,101
0,W,115,8.5,-105
0,L,103,7.5,-104
0,W,117,8.5,-107
0,W,150,8,101
1,W,-111,9,-116
1,L,170,8.5,-105
1,W,117,9.5,-114
1,W,-179,9,-121
1,W,-150,8.5,103
1,W,-160,9,-116
1,W,127,7,-102
1,L,-174,8.5,-108
1,W,-148,8.5,109
0,L,161,8,-108
0,W,131,9,-108
0,W,132,9.5,113
0,L,105,9,-102
0,L,104,9.5,104
0,L,127,9,-111
1,L,-118,8.5,-121
1,L,-115,9,-103
1,L,-101,9,-108
1,L,-108,10,-108
1,W,-171,9,106
1,W,-137,8.5,-125
0,W,154,9.5,111
0,L,179,10,-102
0,L,127,9,-109
0,L,160,7.5,-108
0,W,136,8.5,-104
0,L,132,8.5,-110
1,L,-132,9.5,105
1,W,-130,7.5,100
1,L,-133,7.5,-108
1,L,-102,10,-101
1,W,-127,9,-118
0,L,133,8,-120
0,L,128,8.5,-102
0,W,175,8.5,-107
0,L,120,7.5,-113
0,L,-101,7,-105
0,W,122,7,-124
0,W,132,7.5,103
0,L,116,8,-109
0,W,117,9.5,-119
1,W,-102,10,102
1,L,-110,8,-109
1,L,-126,8,-105
1,W,-127,9.5,-102
1,W,125,9,-112
1,W,108,8.5,-103
0,L,171,9.5,-118
0,W,142,9.5,-105
0,W,171,9.5,101
1,L,-210,8.5,-105
1,W,-187,8.5,100
1,W,-145,9.5,-106
1,W,-222,9,-102
1,W,-203,9,-110
0,L,106,9,105
0,W,-111,8.5,103
0,W,-101,8.5,-107
0,L,142,7.5,-104
0,L,143,8,-113
0,W,-106,10,102
0,W,-130,9,-107
0,W,-134,9.5,-107
0,W,-140,9.5,-105
1,L,111,9.5,113
1,W,-111,9,111
1,L,124,7.5,111
1,W,-107,9,-112
1,L,117,9.5,100
0,L,210,9,-111
0,L,163,8.5,-114
0,W,168,9.5,-105
0,L,-124,8,-115
0,L,-114,10,-115
0,L,-113,8,111
0,L,-151,8.5,-101
1,L,-101,9.5,108
1,W,126,9,-105
1,L,191,8.5,-117
1,W,122,7.5,-118
1,L,100,7.5,-121
1,L,-104,8,-114
1,L,-148,7.5,-107
1,W,147,8.5,101
1,W,-150,8.5,102
0,W,-114,6.5,-118
0,L,113,6,105
0,W,-104,6.5,-114
0,L,146,9.5,105
0,L,119,9,-119
0,L,164,7,-119
0,W,128,9,-120
0,L,139,7.5,107
1,L,122,9.5,-114
1,W,123,8.5,101
1,W,120,9,-107
1,L,-106,7.5,-115
1,L,141,9,-123
1,W,126,9,-114
1,W,-169,8,102
1,W,-172,9,-122
1,W,-177,8,101
0,L,125,9.5,-101
0,L,106,8,-110
0,W,118,9,100
0,W,-125,10,-107
0,L,145,11,-111
0,L,138,9.5,-110
0,W,106,7.5,103
1,W,-116,8,-115
1,L,102,9.5,-103
1,W,110,9,-118
1,W,-134,9,-119
1,W,-107,8.5,-104
0,W,100,9.5,-110
0,L,139,10.5,-112
0,L,178,9.5,101
0,W,106,8.5,110
0,L,125,8,-115
0,W,101,8.5,111
0,W,162,8.5,103
0,W,125,8.5,-124
0,W,-122,8,106
0,W,101,9,-101
1,W,-162,8.5,100
1,L,-107,9,-104
1,W,-123,9,-110
1,W,-155,7.5,101
1,L,137,8.5,-103
1,L,-101,8.5,105
1,L,129,9,-107
0,L,187,8.5,113
0,L,137,9,112
0,W,210,8.5,-106
1,L,-110,7.5,-114
1,W,-144,9,102
1,W,-114,9.5,109
1,L,-133,8.5,-101
1,L,101,10,-107
1,L,104,8.5,-114
1,W,-117,9.5,-104
1,L,112,8,-102
1,W,-119,8.5,106
1,L,120,8,-115
0,W,106,8.5,-110
0,W,132,9.5,-113
0,W,147,9,104
0,W,141,9,-118
0,W,162,9,-105
1,L,-131,7,-113
1,L,-129,7,-110
0,W,111,6.5,101
0,L,147,6.5,100
1,W,-136,7.5,115
1,L,-208,8,-105
1,L,-156,8.5,100
1,W,-214,8.5,-106
1,W,-172,7,101
1,W,-197,8,-118
0,L,-133,8.5,-115
0,W,-152,8.5,-116
0,L,-175,7.5,-108
0,L,135,7.5,110
0,L,180,8,-110
0,W,-103,7,-126
0,W,-139,7,104
0,W,-135,7,-104
1,L,-175,8,-106
1,L,-198,8,-103
1,W,-198,8.5,-104
1,L,-218,8.5,-103
1,W,-138,8,100
1,W,111,7.5,100
1,L,100,7,112
0,W,-151,8.5,103
0,L,-188,7.5,-102
0,L,-199,8,-101
0,L,-119,8.5,-105
0,W,145,7,-114
0,L,-119,9.5,-106
1,L,-157,6.5,-106
1,W,-172,8,106
1,W,-155,7.5,101
1,W,-198,8,104
1,W,100,7.5,102
1,W,-175,7.5,113
0,L,-116,9,-121
0,L,113,9,101
0,L,-114,8,-104
0,W,-128,7.5,-113
0,L,-155,7.5,106
0,W,-128,10.5,-113
1,L,-210,8.5,-123
1,W,-219,7.5,-102
1,W,-177,8.5,-116
1,W,-135,7,-104
1,L,-137,7.5,-108
1,W,-164,7,106
0,W,-125,7,-107
0,W,-145,8,-110
0,L,-130,8.5,-105
1,W,-123,7.5,-105
1,W,-135,7,-107
1,L,-151,7.5,-123
1,W,-103,7,-113
1,W,-160,8.5,100
1,L,-138,7.5,-106
1,W,-138,6.5,109
0,L,-117,8.5,-108
0,L,100,8.5,100
0,W,121,8.5,105
0,L,-136,8.5,-104
0,W,-147,7.5,106
0,L,122,6.5,-104
0,L,-132,8.5,-103
0,W,-113,8,-107
0,L,-105,8.5,112
1,W,-165,7.5,-111
1,L,-166,8,-115
1,W,-155,8,102
1,W,-176,9,105
1,L,-195,8,-102
1,L,-175,8.5,111
1,W,-175,8.5,-111
0,L,128,7,-115
0,W,-118,7.5,-113
0,W,-114,7.5,-131
0,W,-110,9,105
0,W,124,8.5,-101
0,L,171,7.5,-118
1,L,-161,7.5,-126
1,W,-157,8,-108
1,W,-161,8.5,-104
1,W,-117,6.5,-105
1,L,-113,7,-116
1,W,-112,9,-111
1,W,-155,9,-112
0,L,-103,9,-126
0,L,-113,8,-101
0,L,-113,8,-103
1,W,-176,9.5,-105
1,W,-139,8,119
1,W,-206,9,104
1,W,-119,8.5,-115
1,W,-130,8.5,100
1,L,122,8.5,-102
0,W,128,8.5,100
0,W,108,9.5,-102
0,L,138,8,-102
0,W,-163,9.5,-117
0,L,106,9.5,-103
0,W,-104,9,-105
0,L,113,8.5,-115
0,L,108,7,-127
0,W,117,7,109
0,L,158,7.5,-110
0,W,122,8,-116
1,W,-141,9,107
1,W,-120,7.5,-105
1,W,-155,7.5,-106
1,W,-166,8.5,-118
1,W,-170,8.5,-104
0,W,-114,8,105
0,W,-142,8.5,110
0,L,114,9,-101
0,L,-126,8.5,-128
0,W,-145,9,-120
0,W,-148,8.5,-111
1,W,-164,7.5,109
1,W,-118,8.5,-106
1,W,-105,7.5,-104
1,L,-152,8.5,-110
1,W,-123,8,113
1,L,-195,8,-110
1,W,-126,9,-107
0,W,154,8.5,101
0,W,-127,9,102
0,W,-131,8.5,-107
0,L,186,9,-102
0,W,140,10,-110
0,L,117,10,-123
0,L,-126,8.5,-111
0,W,-158,8,-113
1,W,-172,9,-123
1,W,-154,8,-110
1,W,-210,8,-114
0,L,155,7,-108
0,L,142,8.5,102
0,L,164,7.5,-124
0,L,-107,8,102
0,L,-116,7,-105
0,L,-126,8.5,-118
0,L,-123,8.5,-102
1,L,-151,9.5,114
1,L,138,7.5,-105
1,W,-156,8.5,112
1,W,-136,9,-117
1,L,117,8,-101
1,W,-132,8.5,-112
0,W,-121,7,102
0,L,-124,7,-111
0,L,169,7,102
0,L,110,8,100
1,L,-175,8,-116
1,W,-143,8,100
1,W,-124,8.5,101
1,W,-182,8.5,-101
1,W,-127,9.5,-123
1,L,-148,9.5,-125
1,W,-173,8.5,-117
0,L,200,8.5,-106
0,L,161,7,101
0,L,185,8,-118
0,L,146,9,-127
0,W,137,9,-113
0,L,144,10.5,-108
0,L,162,7.5,-103
1,W,-115,8,-101
1,W,-107,8,108
1,W,147,8,105
1,L,-126,9.5,111
1,L,-159,8.5,-116
1,L,100,8,-116
1,L,222,8,-114
1,L,144,8,-102
